ZBEZ,university_share,avg_income,unemprate,benefit_share,SSI,quintile,green_area_sum,blue_area_sum,census_area_km2,green_ratio,blue_ratio
0101,1.60495393907887,1.74139903973317,1.12592291873207,1.12300766661696,1.65399208545834,5,1176.7517402909343,16.97162488616197,0.37735580253780127,0.0031,0.0
0102,1.653812293864,2.56523343867763,1.2369995281743,1.13944040004503,2.00043350526477,5,77668.03866533704,58683.05136992553,0.3791741776928953,0.2048,0.1548
0103,1.70659827142579,3.80503268908206,1.64102864371774,1.23251891262258,2.57058232888391,5,25070.979682471265,20255.52737389915,0.4652473930634938,0.0539,0.0435
0104,1.84597501085863,3.15599994470729,1.69771329969692,1.31328952271054,2.40745960881237,5,213339.04168405515,944.0049305784277,0.8353774581812469,0.2554,0.0011
0105,1.68130345477823,2.42495303638054,1.19250244409644,1.25213376659957,1.97132150631255,5,17608.835552660163,0.0,0.3331162628975688,0.0529,0.0
0106,1.74654272998126,2.38113616530838,1.11691114459184,1.13750224919908,1.94406004710482,5,12.836292463452677,50.73493276325428,0.23607666068359623,0.0001,0.0002
0107,1.38279357844358,2.70868880277107,1.28993313035836,1.25012518864608,1.98350662360755,5,8257.380437906912,192.04571036088498,0.2408998003480963,0.0343,0.0008
0201,0.702976450719514,-0.180877189031355,0.256342008570078,0.455460372462006,0.324818793963578,4,304639.24439445994,364300.0259516963,1.806116304978461,0.1687,0.2017
0202,0.361530850229844,-0.656246227566122,-0.59778042845589,-0.400072639365897,-0.29361010897327,3,7811.447576480499,0.0,0.37811222127523725,0.0207,0.0
0203,1.27873768846478,0.0343169046183337,0.24383803322314,0.517964853191822,0.626683910417011,4,417431.306432559,96043.49222672117,1.13505550477157,0.3678,0.0846
0204,0.834066014587629,-0.0638202931110052,0.240453693941195,0.381672606027958,0.400033328739628,4,19672.49244157674,28229.438818616552,0.5604136452553026,0.0351,0.0504
0205,0.865794449012386,-0.135456823191883,0.0298311282184075,0.227233166697967,0.317741344241669,4,40386.25365350027,78081.75819805182,0.4173500400977988,0.0968,0.1871
0206,0.582894244465069,0.197921207329798,0.00197878633492102,0.309008536904561,0.346390250976439,4,1428805.1825390514,203225.48879440766,3.6566559300021577,0.3907,0.0556
0207,0.194077734605763,-0.957496178515997,-0.818646657008604,-0.210640309644006,-0.472822687930903,2,10641.491564292251,9.33464307689813,0.3840583883041782,0.0277,0.0
0208,-0.455898988195748,-0.158587462918434,0.179498377375826,-0.0358280007409427,-0.200755396289312,3,3288879.483105799,2698181.904850611,8.367813505714976,0.393,0.3224
0209,-0.446621956329603,-0.863534014230115,-1.14364772984338,-1.09391301619165,-0.898591990191329,1,182042.15102173403,586486.2764432966,1.2766756313216323,0.1426,0.4594
0301,1.16893899949609,0.241092184207318,0.568309116978107,0.664179064381935,0.749626368882975,4,39737.687186243405,358.62762900547204,0.5604679951155154,0.0709,0.0006
0302,1.37104306683892,0.953676127127598,0.805624521599889,0.869012498799885,1.16980494822777,5,24031.983027506998,25.936854859705523,0.5169180206155515,0.0465,0.0001
0303,1.30797832699292,1.69367621352017,0.824887981419533,0.864106416602456,1.42289490432128,5,231234.86265386362,10574.827984878937,0.9648591201264484,0.2397,0.011
0304,0.478071785123106,-0.511055887707821,-0.135149934325935,-0.0944981226792813,-0.0546820434514181,3,572.9298794224549,0.0,0.2864810443857722,0.002,0.0
0305,0.961288058770776,0.419164797943932,0.538671977846885,0.728168959958906,0.74503823224728,4,10083.214986891604,950.2606038035663,0.5042874488174293,0.02,0.0019
0306,0.20659257549406,-0.448088020505262,-0.282203112644009,-0.0252544735419579,-0.14621434424537,3,19368.30237578712,0.0,0.5679235467890008,0.0341,0.0
0307,0.0704071878423255,-0.550198859013403,-0.131569578270205,0.0157820404998427,-0.198918275876047,3,61216.94272351249,263.09926391083997,1.5518264133657953,0.0394,0.0002
0308,0.316394034156456,0.0192757146535025,-1.64894165792893,-0.0738655080290677,-0.194496744884272,3,212326.91997282038,3504.4172929689685,1.1025690259493537,0.1926,0.0032
0309,1.40234333251755,0.976090020228198,0.8656750163963,1.0220102943781,1.22908556990685,5,38352.96739518076,0.0,0.45401344063617577,0.0845,0.0
0310,0.17397116055594,-0.646559387341883,-0.384032977389359,-0.685040959030092,-0.372588864148721,2,33527.03995754044,0.0,0.3968849285558308,0.0845,0.0
0311,0.374085281114778,-0.186420817437657,-0.164448075158123,-0.1985947869418,0.00227263259856371,3,13953.495589645314,0.0,0.49281626143300894,0.0283,0.0
0401,1.79449933444666,0.766171852986236,0.948029004084512,0.968300567178506,1.30180349458477,5,62204.02703365641,3475.023910550478,0.271074531007927,0.2295,0.0128
0402,1.174651147089,0.614055678634358,-0.0468867500602504,0.887591588596384,0.817247824816981,4,18179.275455792926,0.0,0.6733758687569591,0.027,0.0
0403,1.59672593259989,0.72557723892913,0.849664287207034,0.81074539765033,1.16627941191094,5,11201.060267234077,0.0,0.5622433909567521,0.0199,0.0
0404,1.00405470044657,0.0823387959110338,0.105356889285847,0.147575639318137,0.448700958769869,4,21413.579561501967,0.0,0.26868735251979436,0.0797,0.0
0501,1.13031235185171,0.145262702751592,0.610198626250173,0.700150113454699,0.714286305802184,4,21587.949225057848,42.18611405774123,0.5296590056312963,0.0408,0.0001
0502,-0.179935326522069,-0.9671781026538,-0.977547078508005,-0.903214978606046,-0.77227458193695,2,28924.414354314846,118.29966615641953,0.6706535470925931,0.0431,0.0002
0503,0.32630881456709,-0.78464698039984,-0.337855000447376,-0.308263329246031,-0.289080191155333,3,26903.672445628148,34.29115277615604,0.5206862281879368,0.0517,0.0001
0504,0.944267658698813,-0.439005600742028,0.322644630424534,0.268025267608057,0.296183166652135,4,28026.800995799953,39.407432510230066,0.2895519315701061,0.0968,0.0001
0601,1.37470877715925,0.520771180855123,0.36659425976352,1.02310265734967,0.958299452042288,5,19552.282012419477,21403.795975140965,0.4729128410644371,0.0413,0.0453
0602,0.926232748844602,-0.3509108974609,-0.201844383925352,0.439097313116121,0.256728176510049,4,12437.094639146664,31640.264211095408,0.4215277854511016,0.0295,0.0751
0603,1.27234699739082,0.0688615143448386,0.572970870776369,0.703609119759509,0.732321169178706,4,21200.00496849594,0.0,0.5598598227628644,0.0379,0.0
0701,1.7360158220991,0.398208742268642,0.645522854931575,0.962536593014177,1.08701562954906,5,11837.709584959706,89.61725359918951,0.28888267855750444,0.041,0.0003
0702,2.13339345041404,0.983543593665812,1.09604081231696,1.27260666668071,1.59126380486183,5,13831.879082615147,0.0,0.2904443652867759,0.0476,0.0
0703,1.60757760305469,0.722088090581542,0.738563875707132,1.06567942399419,1.19560902801679,5,5853.590121937514,0.0,0.2908168130280488,0.0201,0.0
0704,1.51459324745155,0.341725326665114,0.777231210576212,1.00378851430101,1.01619708480428,5,11878.81746735529,0.0,0.42448369910121825,0.028,0.0
0705,1.35572813171837,-0.0358270654978437,0.640585349356219,0.41963013057203,0.684416081721037,4,17998.4841239163,0.0,0.3127596640320627,0.0575,0.0
0801,1.43762761932886,0.508873420648046,0.996835253595219,1.06324198219169,1.10117941218252,5,11222.849896807298,0.0,0.26759824690239914,0.0419,0.0
0802,1.86510440179277,1.05858976838822,1.03512666992084,1.18061055985856,1.4914882541889,5,9610.869340247169,0.0,0.5216297379066099,0.0184,0.0
0803,1.38324934416983,0.530355838617132,0.271754211787008,0.899380271592846,0.924576030442425,4,14980.446583255014,0.0,0.3001336621900715,0.0499,0.0
0901,1.2200660615788,-0.234963660806963,0.448677888351046,0.357777820833443,0.513616773246976,4,18939.617751083362,143.56993057095823,0.6807171355102262,0.0278,0.0002
0902,1.53475579794514,0.389211410275952,0.873001818366077,0.970293397924085,1.05274339029837,5,33704.457870764636,205.12515447994582,0.471038733452758,0.0716,0.0004
0903,1.46843854823149,0.597125768424921,0.866687126824064,0.67782667101021,1.04986012525706,5,14818.554180243202,0.0,0.5150587027156301,0.0288,0.0
0904,1.45467953750607,-0.0808989989621203,0.622410589940989,0.808348729196689,0.772890827384087,4,6634.187763744877,102.19848653317017,0.3996314440559544,0.0166,0.0003
0905,2.04671052720542,1.72752293765496,1.12593832015004,1.2839794527487,1.84206653926524,5,66631.18128533204,625.3926422741345,0.5019862822739757,0.1327,0.0012
0906,2.30380167700693,1.73019229235686,1.50814551385408,1.23856297188086,2.00046403214104,5,107046.4069190651,205.27150286358705,0.3973900659909426,0.2694,0.0005
1001,0.629404453327873,-0.332959845447418,0.609287932284399,0.645616156303947,0.34179822522068,4,821.3852745472385,0.0,1.0508275898060322,0.0008,0.0
1002,-1.27436516892068,-1.41576403608296,-1.9328827699256,-2.33253991734278,-1.7842237399245,1,22332.00142884308,0.0,0.7672582967813405,0.0291,0.0
1003,-1.09541547994717,-1.06791313243084,-1.24035986561353,-1.16556203483165,-1.24536851104241,1,40332.56893308545,0.0,0.6585935225314417,0.0612,0.0
1004,-1.02012590133563,-1.39340743118952,-1.83366643925036,-2.41198203985593,-1.67823853831834,1,16436.663643210846,0.0,0.3621628739788383,0.0454,0.0
1005,-1.0442281619587,-1.03553474651324,-0.811396281810765,-1.096550030811,-1.12233938751706,1,20352.52982613244,0.0,0.5674182587946098,0.0359,0.0
1006,-1.08992478058378,-1.35615689985548,-1.41524590475233,-1.84681994226236,-1.50834028066904,1,44487.00338583135,0.0,0.512218323804919,0.0869,0.0
1007,-1.03866525134558,-0.886964508749934,-0.845099767798186,-0.902055726540821,-1.0355748727475,1,16673.032101287394,0.0,0.3429691251387243,0.0486,0.0
1008,-1.10516988048696,-1.13391698319412,-1.14387149186811,-1.00002269670555,-1.22492654109643,1,27232.760487815893,0.0,0.42888388405552014,0.0635,0.0
1009,-1.04719739442955,-0.976346210685355,-1.01306069260807,-0.670026936145515,-1.05994733586205,1,18062.86412025758,0.0,0.7338973435752574,0.0246,0.0
1010,-1.37639973749616,-1.19877413869569,-1.88955013712596,-1.75767545078054,-1.62734378725273,1,4404.180425370326,0.0,0.6460567349645105,0.0068,0.0
1011,-1.34300932813911,-0.958043901145882,-1.73751976357563,-1.47217359727905,-1.44499891182304,1,259799.76766954132,0.0,1.2403384851694355,0.2095,0.0
1012,0.263415043612772,0.752339548875068,1.16883410947844,0.757980362707912,0.732196614027393,4,254950.43725629942,14743.10983632483,1.3137588238505706,0.1941,0.0112
1013,-1.32719788760772,-0.730113133504663,-0.450689276144313,-0.0935972943145309,-0.861788324231102,2,59699.94957118975,3525.931858645187,0.94605660641112,0.0631,0.0037
1014,-1.38748664903017,-0.819597541320738,-0.995332090918084,-0.648220567085384,-1.12053566545454,1,462379.2194050216,13991.396706893596,1.3354977889815918,0.3462,0.0105
1015,-0.858499337246306,-0.356811404790232,0.161401709368883,-0.456975083076599,-0.504281816479131,2,885114.5589435991,20968.95906197926,2.158769240075875,0.41,0.0097
1016,-0.792285378696001,-0.0153846293594379,-0.145995136817425,0.0330890596462762,-0.319684807839697,2,1392089.7554512387,74665.3058953611,5.668706218799187,0.2456,0.0132
1017,-0.912289321917189,0.554685867385906,1.31572501107315,1.18273623976911,0.329860037755696,4,724301.6724924104,44144.452181749395,4.029933053305686,0.1797,0.011
1018,-0.127915035492492,0.373570206823481,0.996689549121249,0.768709616817042,0.41743808848244,4,320664.0919446753,38107.8858450727,2.8239161645931112,0.1136,0.0135
1019,-0.421284962714679,0.41133808092276,0.901677785221112,0.768319020181939,0.305230184457064,4,415405.82435454393,32978.664167683644,2.9680513502341275,0.14,0.0111
