district_code,census_district_code,total_flats,no_central_heating,central_heating,owner_private,owner_public,owner_nonprofit,owner_other,num_buildings,total_wohnungen,social_housing_flat_ratio
91300,1311,2354,67,2287,2249,3,45,57,0,0,0.0
91400,1401,5286,227,5059,3100,362,893,931,5,812,0.154
91400,1402,5210,500,4710,3478,1029,418,285,15,466,0.089
91400,1403,5486,270,5216,3566,1093,497,330,11,1362,0.248
91400,1404,11912,606,11306,4896,2911,2462,1643,9,1062,0.089
91400,1405,3067,86,2981,1290,895,619,263,1,163,0.053
91400,1406,6986,356,6630,3524,1117,1817,528,7,1187,0.17
91400,1407,1542,75,1467,1,1541,0,0,0,0,0.0
91400,1408,2425,70,2355,1141,671,437,176,3,331,0.136
91400,1409,174,0,174,8,3,148,15,0,0,0.0
91400,1410,5195,174,5021,3023,824,925,423,4,207,0.04
91400,1411,4272,288,3984,4087,36,105,44,1,219,0.051
91400,1412,3722,215,3507,2749,218,430,325,10,365,0.098
91500,1501,6192,354,5838,2938,1830,749,675,17,1286,0.208
91500,1502,5941,523,5418,4530,498,331,582,17,1733,0.292
91500,1503,6784,523,6261,4864,711,389,820,24,589,0.087
91500,1504,4757,377,4380,2662,826,325,944,20,737,0.155
91500,1505,6008,365,5643,3900,1406,381,321,31,1146,0.191
91500,1506,8510,872,7638,6098,1038,637,737,13,675,0.079
91500,1507,4953,246,4707,1779,2316,660,198,11,2241,0.452
91600,1601,8370,650,7720,6785,472,644,469,20,453,0.054
91600,1602,4593,588,4005,3604,242,223,524,9,694,0.151
91600,1603,7277,281,6996,1668,3856,1359,394,19,1836,0.252
91600,1604,4771,283,4488,2890,619,925,337,10,720,0.151
91600,1605,9466,705,8761,6064,767,1656,979,6,437,0.046
91600,1606,5712,249,5463,2133,2914,284,381,14,2703,0.473
91600,1607,6785,393,6392,2973,1297,1674,841,10,729,0.107
91600,1608,2617,45,2572,1188,715,523,191,1,289,0.11
91600,1609,3456,58,3398,2026,45,1249,136,2,454,0.131
91600,1610,6000,818,5182,4615,712,180,493,9,1475,0.246
91700,1701,6820,666,6154,5159,253,804,604,10,298,0.044
91700,1702,8642,630,8012,6469,1135,412,626,27,1786,0.207
91700,1703,10125,751,9374,5750,1927,1258,1190,10,748,0.074
91700,1704,2501,68,2433,1756,444,107,194,5,429,0.172
91700,1705,3964,161,3803,2648,750,415,151,4,432,0.109
91700,1706,1581,77,1504,1199,207,81,94,3,191,0.121
91800,1801,1270,22,1248,1186,34,0,50,3,123,0.097
91800,1802,8529,576,7953,6573,901,213,842,10,429,0.05
91800,1803,9734,742,8992,7087,1202,378,1067,15,798,0.082
91800,1804,6080,238,5842,3916,1226,506,432,8,924,0.152
91800,1805,5533,112,5421,3919,490,428,696,4,133,0.024
91900,1901,3868,150,3718,2663,675,345,185,9,442,0.114
91900,1902,5661,194,5467,1830,2479,1005,347,2,439,0.078
91900,1903,349,0,349,64,3,98,184,0,0,0.0
91900,1904,8453,353,8100,4996,2001,511,945,30,2836,0.336
91900,1905,4331,86,4245,2309,1322,413,287,8,898,0.207
91900,1906,3049,49,3000,2297,151,384,217,2,41,0.013
91900,1907,1788,42,1746,1413,132,174,69,2,392,0.219
91900,1908,7692,183,7509,3741,2645,781,525,23,2374,0.309
91900,1909,2559,31,2528,1928,163,284,184,13,1433,0.56
91900,1910,5444,137,5307,3187,1172,805,280,2,94,0.017
92000,2001,4161,68,4093,824,2852,290,195,10,2867,0.689
92000,2002,8626,654,7972,4367,2045,1479,735,28,5368,0.622
92000,2003,8110,716,7394,5866,729,447,1068,9,2222,0.274
92000,2004,4342,90,4252,973,1784,1031,554,0,0,0.0
92000,2005,6368,673,5695,4644,1028,185,511,7,827,0.13
92000,2006,4654,207,4447,1813,2498,217,126,8,781,0.168
92000,2007,6791,235,6556,1794,2816,1409,772,14,2505,0.369
92000,2008,3651,179,3472,2091,67,1033,460,1,725,0.199
92100,2101,964,43,921,728,37,110,89,5,253,0.262
92100,2102,4382,64,4318,1512,518,1958,394,2,207,0.047
92100,2103,3603,13,3590,715,1029,1735,124,2,448,0.124
92100,2104,2297,52,2245,1365,482,382,68,1,380,0.165
92100,2105,8156,43,8113,1380,5883,840,53,3,5850,0.717
92100,2106,1804,24,1780,524,8,1167,105,1,1316,0.729
92100,2107,4225,54,4171,1395,794,1356,680,0,0,0.0
92100,2108,2664,8,2656,733,947,556,428,0,0,0.0
92100,2109,3545,56,3489,1077,2380,18,70,4,1508,0.425
92100,2110,3642,79,3563,587,2293,617,145,5,2051,0.563
92100,2111,2554,28,2526,740,502,849,463,3,97,0.038
92100,2112,3771,25,3746,960,1996,785,30,6,2129,0.565
92100,2113,2909,39,2870,1135,165,1225,384,3,257,0.088
92100,2114,2905,201,2704,416,2024,320,145,7,1798,0.619
92100,2115,2651,21,2630,630,1027,973,21,0,0,0.0
92100,2116,1800,69,1731,1359,51,363,27,0,0,0.0
92100,2117,4105,97,4008,686,3123,207,89,4,3071,0.748
92100,2118,4341,183,4158,2266,844,1088,143,5,341,0.079
92100,2119,2843,53,2790,1312,348,996,187,0,0,0.0
92100,2120,1244,15,1229,343,26,117,758,1,26,0.021
92100,2121,4270,199,4071,1396,1694,933,247,7,1002,0.235
92100,2122,5662,119,5543,2899,896,1688,179,6,745,0.132
92100,2123,6432,220,6212,4326,728,847,531,17,1997,0.31
92100,2124,3188,29,3159,1001,570,1185,432,0,0,0.0
92100,2125,3397,42,3355,641,997,957,802,1,250,0.074
92100,2126,4629,75,4554,1096,1599,1307,627,11,817,0.176
92100,2127,974,50,924,887,29,7,51,0,0,0.0
92100,2128,206,18,188,153,38,14,1,5,884,4.291
92100,2129,678,0,678,225,9,282,162,0,0,0.0
92100,2130,13,0,13,10,0,0,3,2,1007,77.462
92200,2201,1123,65,1058,829,47,186,61,2,36,0.032
92200,2202,2880,53,2827,1672,116,929,163,1,23,0.008
92200,2203,917,62,855,863,6,22,26,0,0,0.0
92200,2204,2168,74,2094,1401,11,685,71,0,0,0.0
92200,2205,7351,34,7317,2340,149,3715,1147,0,0,0.0
92200,2206,5220,63,5157,888,2941,961,430,7,2950,0.565
92200,2207,2398,84,2314,1316,60,964,58,0,0,0.0
92200,2208,9119,56,9063,2143,3082,3309,585,4,2843,0.312
92200,2209,7192,47,7145,1433,3031,2421,307,3,1557,0.216
92200,2210,4825,17,4808,938,640,2037,1210,7,1180,0.245
92200,2211,7527,142,7385,2656,2313,1429,1129,10,2304,0.306
92200,2212,2074,64,2010,798,546,458,272,3,489,0.236
92200,2213,4066,32,4034,1005,2120,542,399,7,1824,0.449
92200,2214,2440,57,2383,242,755,1443,0,4,217,0.089
