district_code,census_district_code,total_flats,no_central_heating,central_heating,owner_private,owner_public,owner_nonprofit,owner_other
91600,91607,6785,393,6392,2973,1297,1674,841
91600,91608,2617,45,2572,1188,715,523,191
91600,91609,3456,58,3398,2026,45,1249,136
91600,91610,6000,818,5182,4615,712,180,493
91700,91701,6820,666,6154,5159,253,804,604
91700,91702,8642,630,8012,6469,1135,412,626
91700,91703,10125,751,9374,5750,1927,1258,1190
91700,91704,2501,68,2433,1756,444,107,194
91700,91705,3964,161,3803,2648,750,415,151
91700,91706,1581,77,1504,1199,207,81,94
91800,91801,1270,22,1248,1186,34,0,50
91800,91802,8529,576,7953,6573,901,213,842
91800,91803,9734,742,8992,7087,1202,378,1067
91800,91804,6080,238,5842,3916,1226,506,432
91800,91805,5533,112,5421,3919,490,428,696
91900,91901,3868,150,3718,2663,675,345,185
91900,91902,5661,194,5467,1830,2479,1005,347
91900,91903,349,0,349,64,3,98,184
91900,91904,8453,353,8100,4996,2001,511,945
91900,91905,4331,86,4245,2309,1322,413,287
91900,91906,3049,49,3000,2297,151,384,217
91900,91907,1788,42,1746,1413,132,174,69
91900,91908,7692,183,7509,3741,2645,781,525
91900,91909,2559,31,2528,1928,163,284,184
91900,91910,5444,137,5307,3187,1172,805,280
92000,92001,4161,68,4093,824,2852,290,195
92000,92002,8626,654,7972,4367,2045,1479,735
92000,92003,8110,716,7394,5866,729,447,1068
92000,92004,4342,90,4252,973,1784,1031,554
92000,92005,6368,673,5695,4644,1028,185,511
92000,92006,4654,207,4447,1813,2498,217,126
92000,92007,6791,235,6556,1794,2816,1409,772
92000,92008,3651,179,3472,2091,67,1033,460
92100,92101,964,43,921,728,37,110,89
92100,92102,4382,64,4318,1512,518,1958,394
92100,92103,3603,13,3590,715,1029,1735,124
92100,92104,2297,52,2245,1365,482,382,68
92100,92105,8156,43,8113,1380,5883,840,53
92100,92106,1804,24,1780,524,8,1167,105
92100,92107,4225,54,4171,1395,794,1356,680
92100,92108,2664,8,2656,733,947,556,428
92100,92109,3545,56,3489,1077,2380,18,70
92100,92110,3642,79,3563,587,2293,617,145
92100,92111,2554,28,2526,740,502,849,463
92100,92112,3771,25,3746,960,1996,785,30
92100,92113,2909,39,2870,1135,165,1225,384
92100,92114,2905,201,2704,416,2024,320,145
92100,92115,2651,21,2630,630,1027,973,21
92100,92116,1800,69,1731,1359,51,363,27
92100,92117,4105,97,4008,686,3123,207,89
92100,92118,4341,183,4158,2266,844,1088,143
92100,92119,2843,53,2790,1312,348,996,187
92100,92120,1244,15,1229,343,26,117,758
92100,92121,4270,199,4071,1396,1694,933,247
92100,92122,5662,119,5543,2899,896,1688,179
92100,92123,6432,220,6212,4326,728,847,531
92100,92124,3188,29,3159,1001,570,1185,432
92100,92125,3397,42,3355,641,997,957,802
92100,92126,4629,75,4554,1096,1599,1307,627
92100,92127,974,50,924,887,29,7,51
92100,92128,206,18,188,153,38,14,1
92100,92129,678,0,678,225,9,282,162
92100,92130,13,0,13,10,0,0,3
92200,92201,1123,65,1058,829,47,186,61
92200,92202,2880,53,2827,1672,116,929,163
92200,92203,917,62,855,863,6,22,26
92200,92204,2168,74,2094,1401,11,685,71
92200,92205,7351,34,7317,2340,149,3715,1147
92200,92206,5220,63,5157,888,2941,961,430
92200,92207,2398,84,2314,1316,60,964,58
92200,92208,9119,56,9063,2143,3082,3309,585
92200,92209,7192,47,7145,1433,3031,2421,307
92200,92210,4825,17,4808,938,640,2037,1210
92200,92211,7527,142,7385,2656,2313,1429,1129
92200,92212,2074,64,2010,798,546,458,272
92200,92213,4066,32,4034,1005,2120,542,399
92200,92214,2440,57,2383,242,755,1443,0
92200,92215,4451,73,4378,540,2718,1015,178
92200,92216,1189,14,1175,95,344,607,143
92200,92217,1923,120,1803,1637,15,37,234
92200,92218,3772,31,3741,256,1219,2243,54
92200,92219,3836,123,3713,1638,863,991,344
92200,92220,1639,16,1623,337,758,404,140
92200,92221,1681,30,1651,906,12,388,375
92200,92222,3102,25,3077,214,735,1684,469
92200,92223,3495,48,3447,1123,510,1311,551
92200,92224,2700,39,2661,711,198,1668,123
92200,92225,1118,47,1071,890,1,211,16
92200,92226,2343,148,2195,1887,16,267,173
92200,92227,4042,72,3970,2193,253,1437,159
92200,92228,2208,24,2184,1014,87,760,347
92200,92229,1852,65,1787,1357,16,390,89
92200,92230,14,0,14,10,4,0,0
92200,92231,1491,1,1490,370,407,619,95
92200,92232,2516,17,2499,1044,30,1154,288
92300,92301,1615,36,1579,750,239,494,132
92300,92302,3061,132,2929,1243,458,788,572
92300,92303,2322,58,2264,1619,246,436,21
92300,92304,6405,29,6376,1265,1742,2502,896
92300,92305,4737,116,4621,1604,1182,1746,205
92300,92306,949,22,927,390,74,316,169
92300,92307,6117,198,5919,2340,1751,1439,587
92300,92308,4216,39,4177,1100,977,1254,885
92300,92309,3995,78,3917,2022,1134,585,254
92300,92310,2684,31,2653,678,1350,417,239
92300,92311,4628,95,4533,1852,748,1447,581
92300,92312,3034,67,2967,1368,1081,515,70
92300,92313,2312,33,2279,1374,183,735,20
92300,92314,2759,60,2699,1874,456,267,162
92300,92315,1293,29,1264,886,6,382,19
92300,92316,1791,48,1743,721,150,356,564
92300,92317,153,7,146,139,1,2,11
92300,92318,2806,18,2788,598,1168,1022,18
92300,92319,5018,25,4993,198,783,4019,18
