Hofname,clean_address,Wohnungen,Lokale
Weißgerberlände 24,"1030 Wien, Weißgerberlände",23,2
Schützengasse 27-29,"1030 Wien, Schützengasse",37,2
Alice-und-Heinrich-Scheuer-Hof,"1030 Wien, Neulinggasse",55,5
Ziehrerplatz 8,"1030 Wien, Ziehrerplatz",30,1
Weißgerberlände 30-36,"1030 Wien, Weißgerberlände",144,12
Landstraßer Hauptstraße 129,"1030 Wien, Landstraßer Hauptstraße",9,2
Marxergasse 12,"1030 Wien, Marxergasse",32,5
Schlachthausgasse 44,"1030 Wien, Schlachthausgasse",24,1
Hainburger Straße 57+61,"1030 Wien, Hainburger Straße",121,16
Strohgasse 14f,"1030 Wien, Strohgasse",35,2
Barthgasse 5-7,"1030 Wien, Barthgasse",36,6
Baumgasse 63-65,"1030 Wien, Baumgasse",24,0
Kegelgasse 44,"1030 Wien, Kegelgasse",27,1
Rudolf-Häuser-Hof,"1030 Wien, Kleingasse",125,3
Untere Weißgerberstraße 53-59,"1030 Wien, Untere Weißgerberstraße",79,2
Paracelsusgasse 4,"1030 Wien, Paracelsusgasse",19,1
Kölblgasse 36,"1030 Wien, Kölblgasse",39,1
Am Modenapark 15,"1030 Wien, Am Modenapark",27,1
Uchatiusgasse 10-12,"1030 Wien, Uchatiusgasse",43,2
Zaunergasse 12-14,"1030 Wien, Zaunergasse",147,6
Schimmelgasse 23,"1030 Wien, Schimmelgasse",47,3
Jauresgasse 5-7,"1030 Wien, Jauresgasse",42,1
Baumgasse 12,"1030 Wien, Baumgasse",22,5
Gerlgasse 14,"1030 Wien, Gerlgasse",111,3
Salmgasse 19,"1030 Wien, Salmgasse",48,1
Schlachthausgasse 39,"1030 Wien, Schlachthausgasse",109,5
Kurt-Steyrer-Hof,"1030 Wien, Landstraßer Hauptstraße",71,15
Markhofgasse 20,"1030 Wien, Markhofgasse",39,4
Landstraßer Hauptstraße 173-175,"1030 Wien, Landstraßer Hauptstraße",393,41
Fasangasse 35-37,"1030 Wien, Fasangasse",78,7
Apostelgasse 19-21,"1030 Wien, Apostelgasse",73,2
Markhofgasse 12-18,"1030 Wien, Markhofgasse",270,8
Kollergasse 11-13,"1030 Wien, Kollergasse",29,0
Leonhardgasse 2-10,"1030 Wien, Leonhardgasse",332,25
Hofmannsthalgasse 12-24,"1030 Wien, Hofmannsthalgasse",290,10
Gestettengasse 21a,"1030 Wien, Gestettengasse",15,0
Markhofgasse 6,"1030 Wien, Markhofgasse",29,4
Kleingasse 2,"1030 Wien, Kleingasse",43,2
Gestettengasse 17,"1030 Wien, Gestettengasse",62,5
Leonhardgasse 7-13,"1030 Wien, Leonhardgasse",80,2
Erdbergstraße 16-28,"1030 Wien, Erdbergstraße",87,11
Erdbergstraße 126-130,"1030 Wien, Erdbergstraße",45,10
Aspangstraße 11-13,"1030 Wien, Aspangstraße",23,0
Erdbergstraße 134,"1030 Wien, Erdbergstraße",11,2
Erdbergstraße 140-144,"1030 Wien, Erdbergstraße",32,5
Kundmanngasse 30-32,"1030 Wien, Kundmanngasse",30,6
Schlachthausgasse 3,"1030 Wien, Schlachthausgasse",104,7
Untere Weißgerberstraße 18,"1030 Wien, Untere Weißgerberstraße",48,6
Marie-Jahoda-Hof,"1030 Wien, Kegelgasse",36,4
Erdbergstraße 12-14,"1030 Wien, Erdbergstraße",66,10
Pfarrhofgasse 14,"1030 Wien, Pfarrhofgasse",15,1
Löwengasse 5,"1030 Wien, Löwengasse",11,2
Trubelgasse 10,"1030 Wien, Trubelgasse",26,0
Erdbergstraße 36,"1030 Wien, Erdbergstraße",28,3
Arenberggasse 6,"1030 Wien, Arenberggasse",18,0
Apostelgasse 35,"1030 Wien, Apostelgasse",24,0
Wällischgasse 10-12,"1030 Wien, Wällischgasse",35,0
Matthäusgasse 3,"1030 Wien, Matthäusgasse",14,0
Untere Weißgerberstraße 4,"1030 Wien, Untere Weißgerberstraße",8,0
Dietrichgasse 35-37,"1030 Wien, Dietrichgasse",36,0
Blattgasse 5,"1030 Wien, Blattgasse",43,0
Dietrichgasse 45,"1030 Wien, Dietrichgasse",13,0
Haidingergasse 24,"1030 Wien, Haidingergasse",25,1
Würtzlerstraße 23,"1030 Wien, Würtzlerstraße",21,3
Kardinal-Nagl-Platz 6,"1030 Wien, Kardinal-Nagl-Platz",38,4
Erdbergstraße 5-7,"1030 Wien, Erdbergstraße",29,2
Graf-Starhemberg-Gasse 40-42,"1040 Wien, Graf-Starhemberg-Gasse",75,2
Preßgasse 7,"1040 Wien, Preßgasse",22,5
Schelleingasse 1,"1040 Wien, Schelleingasse",17,1
Margaretenstraße 40,"1040 Wien, Margaretenstraße",21,3
Autokaderstraße 3-7,"1210 Wien, Autokaderstraße",973,3
Favoritenstraße 42,"1040 Wien, Favoritenstraße",13,4
Margaretenstraße 46,"1040 Wien, Margaretenstraße",23,2
Favoritenstraße 45,"1040 Wien, Favoritenstraße",32,4
Theresianumgasse 9,"1040 Wien, Theresianumgasse",46,2
Favoritenstraße 43,"1040 Wien, Favoritenstraße",14,2
Petzvalgasse 1-3,"1040 Wien, Petzvalgasse",36,2
Schelleingasse 18-20,"1040 Wien, Schelleingasse",35,2
Schelleingasse 27-29,"1040 Wien, Schelleingasse",39,3
Kolschitzkygasse 9-13,"1040 Wien, Kolschitzkygasse",105,12
Karolinengasse 24,"1040 Wien, Karolinengasse",11,0
Rainergasse 26-28,"1040 Wien, Rainergasse",54,4
Belvederegasse 36-38,"1040 Wien, Belvederegasse",55,3
Rainergasse 13,"1040 Wien, Rainergasse",26,0
Rechte Wienzeile 25-27,"1040 Wien, Rechte Wienzeile",101,12
Margaretenstraße 31,"1040 Wien, Margaretenstraße",18,3
Schelleingasse 28-30,"1040 Wien, Schelleingasse",69,2
Rainergasse 23-25,"1040 Wien, Rainergasse",39,0
Schelleingasse 3,"1040 Wien, Schelleingasse",18,1
Margaretenstraße 36,"1040 Wien, Margaretenstraße",19,2
Graf-Starhemberg-Gasse 35,"1040 Wien, Graf-Starhemberg-Gasse",17,1
Paulanergasse 3,"1040 Wien, Paulanergasse",37,7
Viktorgasse 4,"1040 Wien, Viktorgasse",12,0
Goldeggasse 18,"1040 Wien, Goldeggasse",24,1
Karolinengasse 14,"1040 Wien, Karolinengasse",23,0
Karolinengasse 26,"1040 Wien, Karolinengasse",20,0
Mommsengasse 18,"1040 Wien, Mommsengasse",11,0
Karolinengasse 15,"1040 Wien, Karolinengasse",17,2
Argentinierstraße 44,"1040 Wien, Argentinierstraße",25,1
Gießaufgasse 34,"1050 Wien, Gießaufgasse",56,0
Paletzgasse 15,"1160 Wien, Paletzgasse",44,0
Leystraße 23,"1200 Wien, Leystraße",389,8
Brandmayergasse 24,"1050 Wien, Brandmayergasse",67,7
Ernst-Hinterberger-Hof,"1050 Wien, Margaretengürtel",105,6
Fendigasse 19-21,"1050 Wien, Fendigasse",72,4
Rechte Wienzeile 71,"1050 Wien, Rechte Wienzeile",50,4
Gassergasse 24-26,"1050 Wien, Gassergasse",59,2
Brandmayergasse 27,"1050 Wien, Brandmayergasse",81,3
Gassergasse 48-50,"1050 Wien, Gassergasse",51,3
Hauslabgasse 25,"1050 Wien, Hauslabgasse",29,0
Hauslabgasse 24,"1050 Wien, Hauslabgasse",29,4
Wiedner Hauptstraße 103,"1050 Wien, Wiedner Hauptstraße",9,2
Siebenbrunnengasse 76-80,"1050 Wien, Siebenbrunnengasse",71,5
Gartengasse 9-11,"1050 Wien, Gartengasse",45,5
Blechturmgasse 23-27,"1050 Wien, Blechturmgasse",78,1
Laurenzgasse 14-18,"1050 Wien, Laurenzgasse",105,7
Reinprechtsdorfer Straße 51,"1050 Wien, Reinprechtsdorfer Straße",17,4
Schönbrunner Straße 101,"1050 Wien, Schönbrunner Straße",17,2
Leopold-Rister-Gasse 5,"1050 Wien, Leopold-Rister-Gasse",103,6
Margaretengürtel 42,"1050 Wien, Margaretengürtel",84,0
Wiedner Hauptstraße 119,"1050 Wien, Wiedner Hauptstraße",67,3
Hofgasse 2,"1050 Wien, Hofgasse",17,0
Spengergasse 30-32,"1050 Wien, Spengergasse",33,5
Castelligasse 3,"1050 Wien, Castelligasse",36,4
Franzensgasse 7-9,"1050 Wien, Franzensgasse",60,11
Gartengasse 7,"1050 Wien, Gartengasse",10,1
Franzensgasse 17,"1050 Wien, Franzensgasse",23,3
Brandmayergasse 2,"1050 Wien, Brandmayergasse",30,2
Krongasse 18,"1050 Wien, Krongasse",17,1
Kleine Neugasse 21,"1050 Wien, Kleine Neugasse",19,0
Einsiedlergasse 13,"1050 Wien, Einsiedlergasse",12,1
Ziegelofengasse 24-26,"1050 Wien, Ziegelofengasse",54,2
Embelgasse 53-55,"1050 Wien, Embelgasse",25,0
Amtshausgasse 3-5,"1050 Wien, Amtshausgasse",49,1
Grüngasse 14,"1050 Wien, Grüngasse",18,1
Leitgebgasse 3,"1050 Wien, Leitgebgasse",11,0
Gießaufgasse 26,"1050 Wien, Gießaufgasse",11,0
Margaretenstraße 140,"1050 Wien, Margaretenstraße",51,0
Rechte Wienzeile 69,"1050 Wien, Rechte Wienzeile",19,0
Jahngasse 34,"1050 Wien, Jahngasse",13,0
Brandmayergasse 4,"1050 Wien, Brandmayergasse",21,0
Jahngasse 32,"1050 Wien, Jahngasse",13,0
Wiedner Hauptstraße 132,"1050 Wien, Wiedner Hauptstraße",20,1
Margaretenstraße 89,"1050 Wien, Margaretenstraße",30,3
Schönbrunner Straße 34,"1050 Wien, Schönbrunner Straße",43,3
Hubert-Feilnreiter-Hof,"1060 Wien, Magdalenenstraße",44,3
Dominikanergasse 5,"1060 Wien, Dominikanergasse",18,0
Mollardgasse 75,"1060 Wien, Mollardgasse",37,5
Elfi-Dassanowsky-Hof,"1060 Wien, Magdalenenstraße",26,5
Mollardgasse 28,"1060 Wien, Mollardgasse",54,9
Fillgradergasse 17-21,"1060 Wien, Fillgradergasse",42,1
Gumpendorfer Straße 86,"1060 Wien, Gumpendorfer Straße",15,2
Kaunitzgasse 11-13,"1060 Wien, Kaunitzgasse",36,2
Mollardgasse 53-55,"1060 Wien, Mollardgasse",53,2
Garbergasse 5,"1060 Wien, Garbergasse",22,0
Grabnergasse 11-13,"1060 Wien, Grabnergasse",85,6
Johanna-Prangl-Hof,"1060 Wien, Damböckgasse",81,4
Magdalenenstraße 9,"1060 Wien, Magdalenenstraße",22,4
Meravigliagasse 5-7,"1060 Wien, Meravigliagasse",24,1
Katharina-Lins-Hof,"1060 Wien, Gumpendorfer Straße",15,6
Kaunitzgasse 15-17,"1060 Wien, Kaunitzgasse",29,3
Stumpergasse 42,"1060 Wien, Stumpergasse",30,6
Millergasse 23,"1060 Wien, Millergasse",22,0
Stumpergasse 16,"1060 Wien, Stumpergasse",53,4
Brauergasse 4,"1060 Wien, Brauergasse",10,0
Meravigliagasse 8,"1060 Wien, Meravigliagasse",14,0
Malva-Schalek-Hof,"1060 Wien, Dürergasse",15,0
Linke Wienzeile 132,"1060 Wien, Linke Wienzeile",26,1
Millergasse 39,"1060 Wien, Millergasse",22,1
Marchettigasse 16,"1060 Wien, Marchettigasse",19,0
Liniengasse 27,"1060 Wien, Liniengasse",22,0
Corneliusgasse 1,"1060 Wien, Corneliusgasse",43,4
Wallgasse 13,"1060 Wien, Wallgasse",28,1
Bürgerspitalgasse 7,"1060 Wien, Bürgerspitalgasse",37,1
Mittelgasse 1,"1060 Wien, Mittelgasse",30,6
Mittelgasse 25,"1060 Wien, Mittelgasse",37,2
Bernardgasse 38,"1070 Wien, Bernardgasse",21,4
Neustiftgasse 143,"1070 Wien, Neustiftgasse",37,3
Neustiftgasse 14,"1070 Wien, Neustiftgasse",17,4
Mondscheingasse 9,"1070 Wien, Mondscheingasse",18,2
Bernardgasse 10,"1070 Wien, Bernardgasse",10,1
Neustiftgasse 43,"1070 Wien, Neustiftgasse",35,4
Stollgasse 1,"1070 Wien, Stollgasse",96,2
Neustiftgasse 89-91,"1070 Wien, Neustiftgasse",67,4
Westbahnstraße 1,"1070 Wien, Westbahnstraße",51,20
Hermanngasse 9,"1070 Wien, Hermanngasse",26,5
Lindengasse 57,"1070 Wien, Lindengasse",25,5
Badhausgasse 5-7,"1070 Wien, Badhausgasse",20,1
Lerchenfelder Straße 33,"1070 Wien, Lerchenfelder Straße",14,1
Schottenfeldgasse 37,"1070 Wien, Schottenfeldgasse",19,0
Feldgasse 19,"1080 Wien, Feldgasse",16,2
Kochgasse 25,"1080 Wien, Kochgasse",35,2
Albertplatz 7,"1080 Wien, Albertplatz",52,2
Pfeilgasse 10-12,"1080 Wien, Pfeilgasse",60,7
Neudeggergasse 12,"1080 Wien, Neudeggergasse",21,0
Rögergasse 6,"1090 Wien, Rögergasse",42,12
Leon-Askin-Hof,"1090 Wien, Sechsschimmelgasse",27,2
Marktgasse 45,"1090 Wien, Marktgasse",32,4
D'Orsaygasse 3-5,"1090 Wien, D'Orsay-Gasse",49,5
Müllnergasse 20,"1090 Wien, Müllnergasse",22,2
Hernalser Gürtel 26,"1090 Wien, Hernalser Gürtel",47,7
Pramergasse 30,"1090 Wien, Pramergasse",88,8
D'Orsaygasse 6,"1090 Wien, D'Orsay-Gasse",12,1
Wiesengasse 32,"1090 Wien, Wiesengasse",39,8
Marktgasse 15-17,"1090 Wien, Marktgasse",8,3
Salzergasse 12,"1090 Wien, Salzergasse",9,3
Rufgasse 4,"1090 Wien, Rufgasse",42,6
Nußdorfer Straße 13,"1090 Wien, Nußdorfer Straße",16,3
Reznicekgasse 18-22,"1090 Wien, Reznicekgasse",55,7
Galileigasse 6,"1090 Wien, Galileigasse",27,2
Salzergasse 19,"1090 Wien, Salzergasse",12,4
Salzergasse 14,"1090 Wien, Salzergasse",12,0
Liechtensteinstraße 131-133,"1090 Wien, Liechtensteinstraße",30,3
Badgasse 10,"1090 Wien, Badgasse",26,1
Wiesengasse 19-21,"1090 Wien, Wiesengasse",21,0
Thurygasse 6,"1090 Wien, Thurygasse",11,0
Marktgasse 9-13,"1090 Wien, Marktgasse",23,3
Liechtensteinstraße 120,"1090 Wien, Liechtensteinstraße",10,1
Althanstraße 11-13,"1090 Wien, Althanstraße",55,5
Althanstraße 27,"1090 Wien, Althanstraße",17,2
Friedl-Dicker-Brandeis-Hof,"1090 Wien, Althanstraße",17,1
Höfergasse 9-11,"1090 Wien, Höfergasse",26,0
Lichtentaler Gasse 11-13,"1090 Wien, Lichtentaler Gasse",29,1
Lazarettgasse 13a,"1090 Wien, Lazarettgasse",20,2
Althanstraße 29-31,"1090 Wien, Althanstraße",27,2
Simon-Denk-Gasse 4-6,"1090 Wien, Simon-Denk-Gasse",32,1
Marktgasse 37-39,"1090 Wien, Marktgasse",31,4
Pulverturmgasse 4,"1090 Wien, Pulverturmgasse",51,2
Karl-Schmiedbauer-Hof,"1090 Wien, Lichtentaler Gasse",22,3
Marktgasse 19,"1090 Wien, Marktgasse",12,0
Liechtensteinstraße 93,"1090 Wien, Liechtensteinstraße",22,3
Liechtensteinstraße 101,"1090 Wien, Liechtensteinstraße",11,3
Salzergasse 21,"1090 Wien, Salzergasse",14,1
Ingrid-Smejkal-Hof,"1090 Wien, Lichtentaler Gasse",48,4
Salzergasse 29-31,"1090 Wien, Salzergasse",28,2
Salzergasse 42,"1090 Wien, Salzergasse",0,0
Liechtensteinstraße 137,"1090 Wien, Liechtensteinstraße",28,0
Säulengasse 18,"1090 Wien, Säulengasse",1,1
Lazarettgasse 17,"1090 Wien, Lazarettgasse",30,3
Herzgasse 76,"1100 Wien, Herzgasse",21,1
Gellertgasse 21,"1100 Wien, Gellertgasse",85,8
Bürgergasse 10,"1100 Wien, Bürgergasse",12,0
Mundygasse 12,"1100 Wien, Mundygasse",39,0
Steudelgasse 18,"1100 Wien, Steudelgasse",35,0
Kennergasse 10,"1100 Wien, Kennergasse",162,8
Troststraße 64-66,"1100 Wien, Troststraße",121,5
Van-der-Nüll-Gasse 82-86,"1100 Wien, Van-der-Nüll-Gasse",135,9
Bürgergasse 22,"1100 Wien, Bürgergasse",116,8
Friesenplatz 1-2,"1100 Wien, Friesenplatz",178,13
Bürgergasse 17-19,"1100 Wien, Bürgergasse",199,12
Hasengasse 35-41,"1100 Wien, Hasengasse",171,5
Friedrich-Knauer-Gasse 2-4,"1100 Wien, Friedrich-Knauer-Gasse",56,1
Friedrich-Knauer-Gasse 6-8,"1100 Wien, Friedrich-Knauer-Gasse",89,0
Puchsbaumgasse 11-13,"1100 Wien, Puchsbaumgasse",29,0
Alxingergasse 97-103,"1100 Wien, Alxingergasse",92,2
Puchsbaumplatz 14,"1100 Wien, Puchsbaumplatz",11,0
Triester Straße 75-77,"1100 Wien, Triester Straße",44,3
Angeligasse 78-80,"1100 Wien, Angeligasse",90,6
Margarethe-Hilferding-Hof,"1100 Wien, Leebgasse",107,3
Bernhardtstalgasse 38,"1100 Wien, Bernhardtstalgasse",102,11
Schrankenberggasse 22,"1100 Wien, Schrankenberggasse",12,1
Triester Straße 51-53,"1100 Wien, Triester Straße",37,1
Kudlichgasse 26-28,"1100 Wien, Kudlichgasse",32,1
Eschenallee 1-9,"1100 Wien, Eschenallee",108,1
Laxenburger Straße 92,"1100 Wien, Laxenburger Straße",67,0
Grenzackerstraße 7-11,"1100 Wien, Grenzackerstraße",246,53
Leebgasse 94-96,"1100 Wien, Leebgasse",72,3
Dieselgasse 22,"1100 Wien, Dieselgasse",19,1
Kudlichgasse 35,"1100 Wien, Kudlichgasse",41,2
Mundygasse 1,"1100 Wien, Mundygasse",161,4
Triester Straße 85,"1100 Wien, Triester Straße",149,4
Raxstraße 21-27,"1100 Wien, Raxstraße",250,14
Bürgergasse 21-23,"1100 Wien, Bürgergasse",362,14
Buchengasse 25-37,"1100 Wien, Buchengasse",172,11
Sibeliusstraße 5-11,"1100 Wien, Sibeliusstraße",309,10
Erlachgasse 53-57,"1100 Wien, Erlachgasse",93,8
Troststraße 21-37,"1100 Wien, Troststraße",145,19
Ettenreichgasse 42-44,"1100 Wien, Ettenreichgasse",94,5
Franz-Schuh-Gasse 26,"1100 Wien, Franz-Schuh-Gasse",34,0
Raxstraße 6-8,"1100 Wien, Raxstraße",277,11
Antonie-Alt-Hof,"1100 Wien, Leebgasse",120,5
Dampfgasse 18-20,"1100 Wien, Dampfgasse",103,2
Hofherrgasse 5-13,"1100 Wien, Hofherrgasse",157,3
Troststraße 20-30,"1100 Wien, Troststraße",233,3
Oberlaaer Straße 193,"1100 Wien, Ober-Laaer Straße",57,5
Randhartingergasse 17,"1100 Wien, Randhartingergasse",26,0
Pernerstorfergasse 60,"1100 Wien, Pernerstorfergasse",124,5
Neilreichgasse 85-89,"1100 Wien, Neilreichgasse",157,2
Herzgasse 99-101,"1100 Wien, Herzgasse",219,6
Kudlichgasse 12,"1100 Wien, Kudlichgasse",19,0
Jagdgasse 1d,"1100 Wien, Jagdgasse",278,9
Anna-Boschek-Hof,"1100 Wien, Davidgasse",419,21
Wirerstraße 6-14,"1100 Wien, Wirerstraße",104,3
Troststraße 8-16,"1100 Wien, Troststraße",201,5
Puchsbaumgasse 5-7,"1100 Wien, Puchsbaumgasse",178,1
Rechberggasse 16-20,"1100 Wien, Rechberggasse",201,9
Antonsplatz 14-15,"1100 Wien, Antonsplatz",110,6
Migerkastraße 1-3,"1100 Wien, Migerkastraße",129,8
Hausergasse 3-7,"1100 Wien, Hausergasse",110,2
Oberlaaer Straße 87,"1100 Wien, Ober-Laaer Straße",42,4
Karplusgasse 1-39,"1100 Wien, Karplusgasse",384,16
Rotenhofgasse 80-84,"1100 Wien, Rotenhofgasse",261,18
Gußriegelstraße 51-59,"1100 Wien, Gußriegelstraße",451,23
Oberlaaer Straße 39,"1100 Wien, Ober-Laaer Straße",96,11
Troststraße 13-19,"1100 Wien, Troststraße",197,8
Dieselgasse 11-17,"1100 Wien, Dieselgasse",255,5
Laaer-Berg-Straße 34-38,"1100 Wien, Laaer-Berg-Straße",256,8
Schrankenberggasse 29,"1100 Wien, Schrankenberggasse",54,2
Brunnweg 4,"1100 Wien, Brunnweg",172,0
Holbeingasse 11,"1100 Wien, Holbeingasse",120,4
Neilreichgasse 95-99,"1100 Wien, Neilreichgasse",162,7
Quaringasse 22,"1100 Wien, Quaringasse",60,1
Feuchterslebengasse 67,"1100 Wien, Feuchterslebengasse",428,7
Eisenstadtplatz 4-8,"1100 Wien, Eisenstadtplatz",174,5
Patrubangasse 9,"1100 Wien, Patrubangasse",118,6
Laaer-Berg-Straße 32,"1100 Wien, Laaer-Berg-Straße",149,47
Neilreichgasse 56,"1100 Wien, Neilreichgasse",92,5
Graffgasse 12,"1100 Wien, Graffgasse",50,0
Raxstraße 38,"1100 Wien, Raxstraße",35,4
Raxstraße 27a,"1100 Wien, Raxstraße",71,2
Braunspergengasse 27,"1100 Wien, Braunspergengasse",197,1
Fernkorngasse 100,"1100 Wien, Fernkorngasse",135,0
Raxstraße 22,"1100 Wien, Raxstraße",135,12
Klausenburger Straße 33,"1100 Wien, Klausenburger Straße",97,0
Laxenburger Straße 203-217,"1100 Wien, Laxenburger Straße",272,19
Laxenburger Straße 140-142,"1100 Wien, Laxenburger Straße",10,5
Laaer-Berg-Straße 166,"1100 Wien, Laaer-Berg-Straße",19,7
Laaer-Berg-Straße 168,"1100 Wien, Laaer-Berg-Straße",20,8
Laaer-Berg-Straße 172,"1100 Wien, Laaer-Berg-Straße",26,4
Laaer-Berg-Straße 202,"1100 Wien, Laaer-Berg-Straße",35,2
Kempelengasse 5,"1100 Wien, Kempelengasse",373,2
Quellenplatz 4,"1100 Wien, Quellenplatz",35,10
Hebbelplatz 3,"1100 Wien, Hebbelplatz",160,11
Steudelgasse 42,"1100 Wien, Steudelgasse",35,2
Puchsbaumplatz 13,"1100 Wien, Puchsbaumplatz",14,0
Johann-Pölzer-Gasse 4,"1100 Wien, Johann-Pölzer-Gasse",26,0
Herzgasse 15-19,"1100 Wien, Herzgasse",68,5
Simmeringer Hauptstraße 240,"1110 Wien, Simmeringer Hauptstraße",32,8
Gratian-Marx-Straße 4,"1110 Wien, Gratian-Marx-Straße",12,3
Schneidergasse 9,"1110 Wien, Schneidergasse",9,0
Herbortgasse 43,"1110 Wien, Herbortgasse",50,0
Fuchsröhrenstraße 22-30,"1110 Wien, Fuchsröhrenstraße",86,3
Rosa-Jochmann-Hof,"1110 Wien, Simmeringer Hauptstraße",276,16
Eisteichstraße 11,"1110 Wien, Eisteichstraße",32,5
Zippererstraße 14,"1110 Wien, Zippererstraße",162,9
Delsenbachgasse 7-11,"1110 Wien, Delsenbachgasse",81,3
Wilhelm-Otto-Straße 3-5,"1110 Wien, Wilhelm-Otto-Straße",27,3
Gratian-Marx-Straße 5,"1110 Wien, Gratian-Marx-Straße",17,1
Gratian-Marx-Straße 12-14,"1110 Wien, Gratian-Marx-Straße",52,1
Ehamgasse 49,"1110 Wien, Ehamgasse",15,2
Krausegasse 14,"1110 Wien, Krausegasse",33,2
Molitorgasse 5-9,"1110 Wien, Molitorgasse",47,0
Dommesgasse 1-7,"1110 Wien, Dommesgasse",125,11
Herbortgasse 42,"1110 Wien, Herbortgasse",64,0
Rinnböckstraße 14-18,"1110 Wien, Rinnböckstraße",39,7
Geystraße 5-7,"1110 Wien, Geystraße",29,0
Simmeringer Hauptstraße 136-140,"1110 Wien, Simmeringer Hauptstraße",46,6
Römersthalgasse 9-17,"1110 Wien, Römersthalgasse",118,1
Mautner-Markhof-Gasse 10,"1110 Wien, Mautner-Markhof-Gasse",641,7
Karl-Lory-Hof,"1110 Wien, Lorystraße",95,3
Thürnlhofstraße 21-23,"1110 Wien, Thürnlhofstraße",364,3
Thürnlhofstraße 20-24,"1110 Wien, Thürnlhofstraße",621,2
Muhrhoferweg 13-19,"1110 Wien, Muhrhoferweg",419,17
Muhrhoferweg 7-11,"1110 Wien, Muhrhoferweg",460,3
Pantucekgasse 33,"1110 Wien, Pantucekgasse",446,6
Muhrhoferweg 1-5,"1110 Wien, Muhrhoferweg",497,3
Pantucekgasse 9-11,"1110 Wien, Pantucekgasse",472,4
Lorystraße 57,"1110 Wien, Lorystraße",35,1
Luzegasse 2-4,"1110 Wien, Luzegasse",98,8
Eisteichstraße 17-27,"1110 Wien, Eisteichstraße",150,20
Kaiser-Ebersdorfer Straße 290-292,"1110 Wien, Kaiser-Ebersdorfer Straße",26,4
Wilhelm-Otto-Straße 1,"1110 Wien, Wilhelm-Otto-Straße",28,0
Richard-Wadani-Hof,"1110 Wien, Kaiser-Ebersdorfer Straße",45,4
Oberleitengasse 19-23,"1110 Wien, Oberleitengasse",52,2
Johann-Hatzl-Hof,"1110 Wien, Simmeringer Hauptstraße",423,44
Lorystraße 46-48,"1110 Wien, Lorystraße",90,2
Oberleitengasse 1,"1110 Wien, Oberleitengasse",91,2
Dreherstraße 2,"1110 Wien, Muhrhoferweg",40,0
Franz-Haas-Hof,"1110 Wien, Simmeringer Hauptstraße",158,13
Schönbrunner Straße 195,"1120 Wien, Schönbrunner Straße",116,9
Klährgasse 4,"1120 Wien, Klährgasse",11,0
Theresienbadgasse 1,"1120 Wien, Theresienbadgasse",5,11
Moosbruggergasse 1,"1120 Wien, Moosbruggergasse",61,4
Rauchgasse 37,"1120 Wien, Rauchgasse",22,0
Am Wienerberg,"1120 Wien, Wienerbergstraße",778,17
Lichtensterngasse 3-21,"1120 Wien, Lichtensterngasse",400,4
Karl-Löwe-Gasse 7-9,"1120 Wien, Karl-Löwe-Gasse",39,2
Sagedergasse 7-11,"1120 Wien, Sagedergasse",446,5
Korbergasse 8,"1120 Wien, Korbergasse",16,0
Schlöglgasse 71,"1120 Wien, Schlöglgasse",19,2
Karl-Löwe-Gasse 4,"1120 Wien, Karl-Löwe-Gasse",16,0
Koppreitergasse 24-26,"1120 Wien, Koppreitergasse",34,2
Liebenstraße 48,"1120 Wien, Liebenstraße",32,1
Karl-Löwe-Gasse 12,"1120 Wien, Karl-Löwe-Gasse",12,0
Oswaldgasse 14-22,"1120 Wien, Oswaldgasse",151,6
Schönbrunner Straße 181-183,"1120 Wien, Schönbrunner Straße",19,5
Fockygasse 53,"1120 Wien, Fockygasse",47,2
Münchenstraße 24,"1120 Wien, Münchenstraße",29,1
Malfattigasse 39,"1120 Wien, Malfattigasse",42,3
Rosenhügelstraße 35a,"1120 Wien, Rosenhügelstraße",40,6
Wolfganggasse 54,"1120 Wien, Wolfganggasse",32,0
Arndtstraße 30-34,"1120 Wien, Arndtstraße",52,0
Malfattigasse 13,"1120 Wien, Malfattigasse",26,1
Zeleborgasse 7,"1120 Wien, Zeleborgasse",17,1
Malfattigasse 7,"1120 Wien, Malfattigasse",49,3
Wienerbergstraße 10,"1120 Wien, Wienerbergstraße",158,4
Fockygasse 40-44,"1120 Wien, Fockygasse",63,0
Wolfganggasse 50-52,"1120 Wien, Wolfganggasse",61,1
Malfattigasse 27-31,"1120 Wien, Malfattigasse",45,8
Schwenkgasse 54-60,"1120 Wien, Schwenkgasse",42,7
Vierthalergasse 11-17,"1120 Wien, Vierthalergasse",172,7
Hohenbergstraße 24-32,"1120 Wien, Hohenbergstraße",79,4
Pachmüllergasse 21,"1120 Wien, Pachmüllergasse",20,1
Steinhagegasse 9,"1120 Wien, Steinhagegasse",20,0
Kollmayergasse 2-8,"1120 Wien, Kollmayergasse",44,3
Hohenbergstraße 14-16,"1120 Wien, Hohenbergstraße",59,5
Arndtstraße 31-33,"1120 Wien, Arndtstraße",124,1
Hoffingergasse 5,"1120 Wien, Hoffingergasse",69,2
Pirkebnerstraße 1-3,"1120 Wien, Pirkebnerstraße",227,4
Stachegasse 1-3,"1120 Wien, Stachegasse",99,1
Spittelbreitengasse 23,"1120 Wien, Spittelbreitengasse",577,15
Migazziplatz 8-9,"1120 Wien, Migazziplatz",119,3
