NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE_STATA;SUB_DISTRICT_CODE_VIE;NAME_STATA;NAME_VIE
AT1;AT13;AT130;91000;9100121;91021;Wienerberger Ziegelfabrik;Wienerberg Ost - Otto-Probst-Straße
AT1;AT13;AT130;91000;9100122;91022;Humboldtplatz;Humboldtplatz
AT1;AT13;AT130;91000;9100123;91023;Eisenstadtplatz;Eisenstadtplatz
AT1;AT13;AT130;91100;9110101;91101;Gaswerk Simmering;Gasometer
AT1;AT13;AT130;91100;9110102;91102;Alt-Simmering;Alt-Simmering
AT1;AT13;AT130;91100;9110103;91103;Enkplatz;Enkplatz
AT1;AT13;AT130;91100;9110104;91104;Geiselberg;Geiselberg
AT1;AT13;AT130;91100;9110105;91105;Hasenleiten;Hasenleiten
AT1;AT13;AT130;91100;9110106;91106;Zentralfriedhof;Zentralfriedhof
AT1;AT13;AT130;91100;9110107;91107;Oberer Simmeringer Haide;Oberer Simmeringer Haide
AT1;AT13;AT130;91100;9110108;91108;E-Werk Simmering;E-Werk Simmering
AT1;AT13;AT130;91100;9110109;91109;Untere Simmeringer Haide;Untere Simmeringer Haide
AT1;AT13;AT130;91100;9110110;91110;Leberberg;Leberberg
AT1;AT13;AT130;91100;9110111;91111;Kaiser-Ebersdorf;Kaiserebersdorf
AT1;AT13;AT130;91100;9110112;91112;Albern;Albern
AT1;AT13;AT130;91100;9110113;91113;Simmeringer Bad;Simmeringer Bad
AT1;AT13;AT130;91200;9120101;91201;Gaudenzdorf;Gaudenzdorf
AT1;AT13;AT130;91200;9120102;91202;Fuchsenfeld;Fuchsenfeld
AT1;AT13;AT130;91200;9120103;91203;Meidlinger Friedhof;Meidlinger Friedhof
AT1;AT13;AT130;91200;9120104;91204;Wilhelmsdorf;Wilhelmsdorf
AT1;AT13;AT130;91200;9120105;91205;Meidlinger Hauptstraße;Meidlinger Hauptstraße
AT1;AT13;AT130;91200;9120106;91206;Tivoligasse;Tivoligasse
AT1;AT13;AT130;91200;9120107;91207;Gatterhölzl;Gatterhölzl
AT1;AT13;AT130;91200;9120108;91208;Oswaldgasse;Johann-Hoffmann-Platz - Euro Plaza 
AT1;AT13;AT130;91200;9120109;91209;Am Schöpfwerk;Am Schöpfwerk
AT1;AT13;AT130;91200;9120110;91210;Altmannsdorf;Altmannsdorf
AT1;AT13;AT130;91200;9120111;91211;Hetzendorf;Hetzendorf
AT1;AT13;AT130;91300;9130101;91301;Schönbrunn;Schönbrunn
AT1;AT13;AT130;91300;9130102;91302;Hietzing;Hietzing
AT1;AT13;AT130;91300;9130103;91303;Auhofstraße;Auhofstraße
AT1;AT13;AT130;91300;9130104;91304;Ober St. Veit;Ober St. Veit
AT1;AT13;AT130;91300;9130105;91305;Gemeindeberg - Jagdschloßgasse;Gemeindeberg - Jagdschloßgasse
AT1;AT13;AT130;91300;9130106;91306;Lainz;Lainz
AT1;AT13;AT130;91300;9130107;91307;Maxing;Maxing
AT1;AT13;AT130;91300;9130108;91308;Speising;Speising
AT1;AT13;AT130;91300;9130109;91309;Altersheim Lainz;Geriatriezentrum Am Wienerwald
AT1;AT13;AT130;91300;9130110;91310;Lainzer Tiergarten;Lainzer Tiergarten
AT1;AT13;AT130;91300;9130111;91311;Friedensstadt;Friedensstadt
AT1;AT13;AT130;91400;9140101;91401;Breitensee;Breitensee
AT1;AT13;AT130;91400;9140102;91402;An der Windmühle;Reinlgasse - An der Windmühle
AT1;AT13;AT130;91400;9140103;91403;Penzing;Penzing
AT1;AT13;AT130;91400;9140104;91404;Unter-Baumgarten;Unter-Baumgarten
AT1;AT13;AT130;91400;9140105;91405;Am Ameisbach;Am Ameisbach
AT1;AT13;AT130;91400;9140106;91406;Ober-Baumgarten;Ober-Baumgarten
AT1;AT13;AT130;91400;9140107;91407;Hugo Breitner-Hof;Hugo-Breitner-Hof
AT1;AT13;AT130;91400;9140108;91408;Baumgartner Friedhof - Flötzersteig;Baumgartner Friedhof - Flötzersteig
AT1;AT13;AT130;91400;9140109;91409;Am Steinhof;Am Steinhof
AT1;AT13;AT130;91400;9140110;91410;Hütteldorf;Hütteldorf
AT1;AT13;AT130;91400;9140111;91411;Wolfersberg;Wolfersberg
AT1;AT13;AT130;91400;9140112;91412;Hadersdorf - Weidlingau;Hadersdorf - Weidlingau
AT1;AT13;AT130;91500;9150101;91501;Stadthalle;Stadthalle - Nibelungenviertel
AT1;AT13;AT130;91500;9150102;91502;Reithofferplatz;Reithofferplatz
AT1;AT13;AT130;91500;9150103;91503;Fünfhaus - Westbahnhof;Fünfhaus - Westbahnhof
AT1;AT13;AT130;91500;9150104;91504;Sechshaus;Sechshaus
AT1;AT13;AT130;91500;9150105;91505;Rudolfsheim - Braunhirschen;Rudolfsheim - Braunhirschen
AT1;AT13;AT130;91500;9150106;91506;Rauscherplatz;Johnstraße - Kardinal-Rauscher-Platz
AT1;AT13;AT130;91500;9150107;91507;Schmelz;Auf der Schmelz
AT1;AT13;AT130;91600;9160101;91601;Neulerchenfeld;Neulerchenfeld
AT1;AT13;AT130;91600;9160102;91602;Ludo-Hartmann-Platz;Ludo-Hartmann-Platz
AT1;AT13;AT130;91600;9160103;91603;Herbststraße - Vorortelinie;Herbststraße - Bahnhof Ottakring
AT1;AT13;AT130;91600;9160104;91604;Alt-Ottakring;Alt-Ottakring
AT1;AT13;AT130;91600;9160105;91605;Wilhelminenstraße;Wilhelminenstraße
AT1;AT13;AT130;91600;9160106;91606;Sandleiten;Sandleiten
AT1;AT13;AT130;91600;9160107;91607;Joachimsthalerplatz;Joachimsthalerplatz
AT1;AT13;AT130;91600;9160108;91608;Wilhelminenspital;Wilhelminenspital
AT1;AT13;AT130;91600;9160109;91609;Wilhelminenberg;Wilhelminenberg
AT1;AT13;AT130;91600;9160110;91610;Richard Wagner-Platz;Richard-Wagner-Platz
AT1;AT13;AT130;91700;9170101;91701;Dornerplatz;Dornerplatz
AT1;AT13;AT130;91700;9170102;91702;Alt-Hernals;Alt-Hernals
AT1;AT13;AT130;91700;9170103;91703;Äußere Hernalser Hauptstraße;Äußere Hernalser Hauptstraße
AT1;AT13;AT130;91700;9170104;91704;Alszeile;Alszeile
AT1;AT13;AT130;91700;9170105;91705;Dornbach;Dornbach
AT1;AT13;AT130;91700;9170106;91706;Neuwaldegg;Neuwaldegg
AT1;AT13;AT130;91800;9180101;91801;Währinger Cottage;Währinger Cottage
