Gebaeudebestand in 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Building stock in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;GEB_TOTAL;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_WSA_1;OBJ_WSA_2;OBJ_ANZWHG_0;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_FLNETTO_1;OBJ_FLNETTO_2;OBJ_FLNETTO_3;OBJ_FLNETTO_4;OBJ_FLNETTO_5;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6;OBJ_ANZGESCHO_7;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;REF_DATE
AT1;AT13;AT130;90300;90309;407;8;2;328;1;68;358;49;39;13;5;19;73;192;66;270;59;24;54;8;0;17;82;300;15;18;26;55;97;196;0;266;20;28;24;12;15;7;35;20211031
AT1;AT13;AT130;90300;90310;265;1;0;230;4;30;243;22;24;5;1;2;17;113;103;102;108;16;39;2;1;14;69;179;8;7;8;25;45;166;6;90;86;12;10;5;17;7;38;20211031
AT1;AT13;AT130;90300;90311;147;4;1;128;0;14;131;16;11;6;1;1;5;90;33;37;75;33;2;4;3;5;57;78;10;6;3;12;36;79;1;2;50;26;10;1;11;1;46;20211031
AT1;AT13;AT130;90400;90401;161;2;1;100;0;58;125;36;32;6;3;14;44;43;19;74;38;0;49;7;2;6;31;115;14;5;4;25;47;66;0;97;32;10;8;8;3;1;2;20211031
AT1;AT13;AT130;90400;90402;499;13;5;390;2;89;449;50;45;18;10;35;105;201;85;307;68;15;109;10;10;17;99;363;19;12;21;100;126;218;3;309;27;47;32;13;16;12;43;20211031
AT1;AT13;AT130;90400;90403;589;5;1;481;5;97;540;49;42;20;7;39;153;237;91;414;54;19;102;8;5;19;154;403;10;13;32;144;147;243;0;414;13;42;46;26;17;7;24;20211031
AT1;AT13;AT130;90400;90404;255;2;1;235;1;16;240;15;10;5;1;3;37;136;63;169;66;1;19;6;1;2;69;177;6;7;3;13;58;168;0;122;8;70;28;8;11;4;4;20211031
AT1;AT13;AT130;90500;90501;565;18;5;448;2;92;516;49;39;29;9;46;106;244;92;403;50;31;81;20;16;34;160;335;24;29;54;136;111;211;0;347;31;14;42;39;31;26;35;20211031
AT1;AT13;AT130;90500;90502;648;6;1;587;0;54;598;50;36;13;4;5;38;356;196;309;246;41;52;5;6;17;233;387;22;13;6;61;102;440;4;238;140;140;49;23;15;23;20;20211031
AT1;AT13;AT130;90500;90503;659;5;2;590;7;55;622;37;32;6;5;30;127;317;142;449;110;21;79;12;10;57;267;313;15;12;26;158;161;287;0;403;70;40;35;35;17;11;48;20211031
AT1;AT13;AT130;90500;90504;285;7;2;236;1;39;251;34;26;10;3;15;44;126;61;199;20;9;57;8;3;19;97;158;13;9;17;66;58;122;0;201;9;13;14;9;15;9;15;20211031
AT1;AT13;AT130;90600;90601;509;4;3;301;1;200;353;156;145;15;8;31;100;169;41;303;124;8;74;95;11;20;99;284;98;20;22;64;122;183;0;377;18;8;20;15;25;28;18;20211031
AT1;AT13;AT130;90600;90602;396;6;8;315;7;60;353;43;35;15;10;16;54;171;95;258;70;23;45;17;6;18;112;243;14;15;35;63;62;207;0;206;32;36;25;26;28;9;34;20211031
AT1;AT13;AT130;90600;90603;567;7;3;458;12;87;512;55;45;20;8;33;99;239;123;405;61;33;68;8;9;30;120;400;20;19;48;102;126;249;3;370;14;23;21;47;49;18;25;20211031
AT1;AT13;AT130;90700;90701;326;4;10;257;2;53;303;23;21;12;16;32;93;124;28;214;38;12;62;15;14;28;98;171;15;8;42;89;89;83;0;257;7;8;7;21;16;4;6;20211031
AT1;AT13;AT130;90700;90702;222;4;3;144;0;71;183;39;34;14;6;35;52;67;14;146;27;12;37;13;13;15;44;137;11;17;19;50;56;69;0;156;10;2;8;3;11;11;21;20211031
AT1;AT13;AT130;90700;90703;252;3;3;180;1;65;217;35;30;7;6;21;60;95;33;148;26;20;58;9;4;7;54;178;17;10;15;54;69;86;1;156;9;11;15;4;12;4;41;20211031
AT1;AT13;AT130;90700;90704;426;4;4;337;4;77;381;45;39;12;8;26;74;183;84;308;35;16;67;11;12;18;80;305;20;18;29;82;112;162;3;302;13;5;14;18;29;13;32;20211031
AT1;AT13;AT130;90700;90705;383;6;7;322;4;44;362;21;16;13;8;25;90;163;68;283;29;15;56;13;8;23;129;210;8;11;48;77;117;122;0;270;19;14;14;18;18;12;18;20211031
AT1;AT13;AT130;90800;90801;227;0;2;181;2;42;205;22;23;5;6;14;40;112;27;132;47;6;42;1;4;9;50;163;10;5;11;51;52;98;0;179;11;9;7;5;5;5;6;20211031
AT1;AT13;AT130;90800;90802;569;13;10;452;12;82;525;44;42;23;17;40;157;221;69;418;45;12;94;16;12;30;140;371;12;26;36;133;136;224;2;440;13;17;25;24;20;13;17;20211031
AT1;AT13;AT130;90800;90803;351;3;3;288;5;52;309;42;43;7;3;18;50;158;72;242;29;7;73;25;11;21;79;215;25;12;21;40;89;164;0;230;22;29;14;22;12;8;14;20211031
AT1;AT13;AT130;90900;90901;406;5;6;327;3;65;347;59;50;10;6;16;67;161;96;221;106;12;67;22;8;28;130;218;24;29;8;51;87;206;1;221;44;29;34;24;29;9;16;20211031
AT1;AT13;AT130;90900;90902;431;0;1;384;5;41;409;22;23;3;3;17;71;230;84;293;57;19;62;4;5;18;101;303;6;4;7;68;140;206;0;327;40;18;7;6;15;8;10;20211031
AT1;AT13;AT130;90900;90903;251;8;1;174;1;67;179;72;60;12;2;6;38;98;35;137;50;21;43;12;4;7;59;169;33;11;11;40;60;94;2;124;30;26;10;7;13;12;29;20211031
