"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"Karl-Kysela-Hof";"1160 Wien, Thaliastraﬂe Thaliastraﬂe";"1967";"1969";"";"Friedrich Lang";"ja";"";"";"191";"14";"https://www.wwpipe.at/web-portal/complex-description/0416346"
"Josef-Wiedermann-Hof";"1190 Wien, Billrothstraﬂe Billrothstraﬂe";"1966";"1968";"";"Josef Horacek";"ja";"";"";"64";"17";"https://www.wwpipe.at/web-portal/complex-description/0419379"
"Franz-Koblizka-Hof";"1200 Wien, Adalbert-Stifter-Straﬂe Adalbert-Stifter-Straﬂe";"1968";"1970";"";"Adolf H. Kautzky, Libuse Partyka, Florian Omasta, Josef (Sepp) Schuster, Erna Grigkar-Kapinus, Erich Huber, Gerhard Krampf";"nein";"";"";"466";"6";"https://www.wwpipe.at/web-portal/complex-description/0420323"
"Johann-Schauhuber-Hof";"1230 Wien, Rudolf-Zeller-Gasse Rudolf-Zeller-Gasse";"1968";"1969";"";"Roland Wagner, Stephan Simony, Johannes (Hans) Hohenegger";"nein";"";"";"157";"6";"https://www.wwpipe.at/web-portal/complex-description/0423377"
"Erich-Deschermaier-Hof";"1130 Wien, Am Rosenberg Am Rosenberg";"1962";"1964";"";"Hans Wˆlfl, Friedrich Fuchs";"ja";"";"";"133";"6";"https://www.wwpipe.at/web-portal/complex-description/0513340"
"Josef-Matejcek-Hof";"1140 Wien, Mauerbachstraﬂe Mauerbachstraﬂe";"1966";"1968";"";"Alfred Kratochwil";"ja";"";"";"95";"8";"https://www.wwpipe.at/web-portal/complex-description/0514373"
"Willi-Liwanec-Hof";"1150 Wien, Minciostraﬂe Minciostraﬂe";"1965";"1968";"";"Erich Ott, Peter Koban, Walter Totz, J¸rgen Felsenstein";"ja";"";"";"264";"11";"https://www.wwpipe.at/web-portal/complex-description/0515356"
"Ernest-Bevin-Hof";"1170 Wien, Andergasse Andergasse";"1956";"1958";"";"Walter Jaksch, Siegfried Theiﬂ, Hans Jaksch, Franz Peydl";"ja";"";"";"202";"19";"https://www.wwpipe.at/web-portal/complex-description/0517331"
"Franz-Schreiner-Hof";"1180 Wien, Buchleitengasse Buchleitengasse";"1967";"1967";"";"Martha Bolldorf-Reitst‰tter";"ja";"";"";"20";"2";"https://www.wwpipe.at/web-portal/complex-description/0518321"
"Emil-Reich-Hof";"1190 Wien, Dˆblinger Hauptstraﬂe Dˆblinger Hauptstraﬂe";"1955";"1957";"";"Kurt Schlauﬂ, Ladislaus Hruska";"ja";"";"";"111";"10";"https://www.wwpipe.at/web-portal/complex-description/0519343"
"Helmut-Qualtinger-Hof";"1190 Wien, Daringergasse Daringergasse";"1958";"1959";"";"Hermann Kutschera";"ja";"";"";"368";"29";"https://www.wwpipe.at/web-portal/complex-description/0519352"
"Arthur-Schnitzler-Hof";"1190 Wien, Dˆblinger Hauptstraﬂe Dˆblinger Hauptstraﬂe";"1959";"1960";"";"Alois Machatschek, Michel Engelhart";"ja";"";"";"47";"3";"https://www.wwpipe.at/web-portal/complex-description/0519358"
"Hans-Binder-Hof";"1070 Wien, Lindengasse Lindengasse";"1962";"1964";"";"Anton Steflicek, Fritz Judtmann";"nein";"";"";"44";"23";"https://www.wwpipe.at/web-portal/complex-description/0607311"
"Schrˆdingerhof";"1100 Wien, Guﬂriegelstraﬂe Guﬂriegelstraﬂe";"1959";"1963";"";"Paul Ehrenzweig, Libuse Partyka, Eugenie Pippal-Kottnig, Johannes (Hannes) Lintl, Rudolf Jarosch";"ja";"";"";"238";"3";"https://www.wwpipe.at/web-portal/complex-description/0610389"
"Otto-Mraz-Hof";"1110 Wien, Hugogasse Hugogasse";"1964";"1966";"";"Andreas Trˆster, Anneliese Trˆster";"ja";"";"";"79";"2";"https://www.wwpipe.at/web-portal/complex-description/0611330"
"Eduard-Pantucek-Hof";"1110 Wien, Simmeringer Hauptstraﬂe Simmeringer Hauptstraﬂe";"1960";"1961";"";"Kurt Eckel";"nein";"";"";"33";"9";"https://www.wwpipe.at/web-portal/complex-description/0611372"
"Johann-Holzer-Hof";"1110 Wien, Simmeringer Hauptstraﬂe Simmeringer Hauptstraﬂe";"1960";"1961";"";"Willy Grunert";"ja";"";"";"70";"5";"https://www.wwpipe.at/web-portal/complex-description/0611374"
"Franz-Glaserer-Hof";"1140 Wien, Hackinger Straﬂe Hackinger Straﬂe";"1963";"1966";"";"Maximilian (Max) Bauer, Hans Zahlbruckner, Leopold Tinhof, Karl Musel";"ja";"";"";"272";"9";"https://www.wwpipe.at/web-portal/complex-description/0614372"
"Paul-Richter-Hof";"1150 Wien, Grimmgasse Grimmgasse";"1956";"1964";"";"Josef Angst, Rudolf Goder";"ja";"";"";"89";"6";"https://www.wwpipe.at/web-portal/complex-description/0615353"
"Alois-K¸blbˆck-Hof";"1150 Wien, Grimmgasse Grimmgasse";"1965";"1967";"";"Franz Marx";"nein";"";"";"28";"0";"https://www.wwpipe.at/web-portal/complex-description/0615355"
"Karl-Honay-Hof";"1160 Wien, Gablenzgasse Gablenzgasse";"1965";"1966";"";"Franz Sturm, Zoltan Egyed, Josef Baudys, Michael Pribitzer";"ja";"";"";"233";"7";"https://www.wwpipe.at/web-portal/complex-description/0616315"
"Wilhelmine-Moik-Hof";"1160 Wien, Wattgasse Wattgasse";"1965";"1967";"";"Frank Schl‰ger, Gerhard Kolbe, Erwin H(einz) Dusl";"nein";"";"";"52";"13";"https://www.wwpipe.at/web-portal/complex-description/0616347"
"Schˆffelhof";"1180 Wien, Wielemansgasse Wielemansgasse";"1956";"1960";"";"Roland Wagner";"ja";"";"";"162";"12";"https://www.wwpipe.at/web-portal/complex-description/0618336"
"Edwin-Schuster-Hof";"1190 Wien, Greinergasse Greinergasse";"1958";"1960";"";"Hans Steineder";"ja";"";"";"41";"6";"https://www.wwpipe.at/web-portal/complex-description/0619355"
